128;128;16
128;256;15
128;512;16
128;1024;16
128;2048;15
128;4096;47
128;8192;42
128;16384;39
256;128;4
256;256;2
256;512;2
256;1024;3
256;2048;7
256;4096;19
256;8192;30
256;16384;95
512;128;1
512;256;1
512;512;3
512;1024;5
512;2048;13
512;4096;21
512;8192;47
512;16384;156
1024;128;1
1024;256;2
1024;512;3
1024;1024;8
1024;2048;18
1024;4096;39
1024;8192;82
1024;16384;247
2048;128;1
2048;256;2
2048;512;4
2048;1024;11
2048;2048;27
2048;4096;119
2048;8192;126
2048;16384;312
4096;128;4
4096;256;7
4096;512;9
4096;1024;21
4096;2048;87
4096;4096;134
4096;8192;528
4096;16384;932
8192;128;5
8192;256;8
8192;512;305
8192;1024;59
8192;2048;173
8192;4096;380
8192;8192;867
