entry1;entry2;;;;time(ms);;;;;entrySize;time(secs);;entrySize;time(secs)
128;128;;;;16;;;;;256;0,016;;256;0,016
128;256;;;;15;;;;;384;0,015;;384;0,015
128;512;;;;16;;;;;640;0,016;;384;0,004
128;1024;;;;16;;;;;1152;0,016;;512;0,002
128;2048;;;;15;;;;;2176;0,015;;640;0,016
128;4096;;;;47;;;;;4224;0,047;;640;0,001
128;8192;;;;42;;;;;8320;0,042;;768;0,002
128;16384;;;;39;;;;;16512;0,039;;768;0,001
256;128;;;;4;;;;;384;0,004;;1024;0,003
256;256;;;;2;;;;;512;0,002;;1152;0,016
256;512;;;;2;;;;;768;0,002;;1152;0,001
256;1024;;;;3;;;;;1280;0,003;;1280;0,003
256;2048;;;;7;;;;;2304;0,007;;1280;0,002
256;4096;;;;19;;;;;4352;0,019;;1536;0,005
256;8192;;;;30;;;;;8448;0,03;;1536;0,003
256;16384;;;;95;;;;;16640;0,095;;2048;0,008
512;128;;;;1;;;;;640;0,001;;2176;0,015
512;256;;;;1;;;;;768;0,001;;2304;0,007
512;512;;;;3;;;;;1024;0,003;;2560;0,013
512;1024;;;;5;;;;;1536;0,005;;3072;0,018
512;2048;;;;13;;;;;2560;0,013;;4224;0,047
512;4096;;;;21;;;;;4608;0,021;;4352;0,019
512;8192;;;;47;;;;;8704;0,047;;4608;0,021
512;16384;;;;156;;;;;16896;0,156;;5120;0,039
1024;128;;;;1;;;;;1152;0,001;;8320;0,042
1024;256;;;;2;;;;;1280;0,002;;8448;0,03
1024;512;;;;3;;;;;1536;0,003;;8704;0,047
1024;1024;;;;8;;;;;2048;0,008;;16512;0,039
1024;2048;;;;18;;;;;3072;0,018;;16640;0,095
1024;4096;;;;39;;;;;5120;0,039;;16896;0,156
